Sample,TP53,BRCA1,EGFR,MYC
P89,5.3,2.1,8.4,2.6
P90,5.8,2.1,9.6,3.5
P91,5.6,2.1,8.9,2.7
P92,6.0,2.1,8.9,3.7
P93,5.2,2.3,9.1,3.4
P94,5.4,2.2,8.0,3.6
P95,5.4,2.3,9.4,3.0
P96,4.8,2.1,8.7,3.9
P97,5.7,2.2,9.1,3.8
P98,5.7,1.8,8.1,3.6
P99,5.6,2.3,7.8,3.3
P100,5.4,2.2,9.2,3.6
P101,4.8,2.3,9.0,3.1
P102,5.3,1.6,8.2,3.7
P103,5.4,2.5,8.2,4.1
P104,5.1,2.1,9.4,3.8
P105,5.5,2.3,8.0,3.1
P106,5.8,2.0,9.7,3.5
P107,6.5,2.3,8.2,2.9
P108,5.6,2.0,9.1,3.6
P109,5.7,2.0,8.5,3.6
P110,5.5,2.5,9.1,2.6
P111,4.6,2.1,8.4,2.9
P112,5.5,2.2,8.6,3.3
P113,5.6,2.3,8.7,3.3
P114,6.8,2.2,8.1,2.9
P115,5.5,2.2,9.2,3.6
P116,5.7,2.2,8.4,3.5
P117,5.5,2.6,8.6,3.3
P118,5.0,2.1,8.1,3.1
P119,6.1,2.2,7.2,3.8
P120,5.9,2.3,8.6,4.1
P121,5.9,2.3,10.2,3.2
P122,5.1,2.4,9.2,3.2
P123,6.3,2.3,8.7,3.6
P124,4.8,1.9,8.6,3.3
P125,5.8,2.4,8.7,3.3
P126,6.7,1.9,9.1,3.7
P127,5.1,2.2,8.0,2.6
P128,5.3,2.0,9.4,3.9
P129,5.6,2.1,9.2,3.4
P130,5.3,2.2,9.2,3.2
P131,4.8,2.2,9.0,3.4
P132,5.6,2.2,8.7,3.4
P133,5.0,2.4,9.1,2.7
P134,5.8,2.2,9.1,4.0
P135,5.1,2.1,8.5,3.4
P136,6.3,2.3,8.4,3.6
P137,5.2,2.4,8.8,3.8
P138,5.4,1.9,9.7,3.0
P139,6.0,2.3,8.0,3.6
P140,4.9,2.3,7.8,3.3
P141,5.7,2.1,8.8,3.7
P142,6.2,2.4,8.8,2.5
P143,4.7,2.1,8.8,3.4
P144,5.6,2.2,8.9,3.2
P145,5.7,2.1,8.6,3.6
P146,5.9,2.2,9.6,3.6
P147,4.9,2.0,7.7,3.1
P148,4.9,1.9,8.2,3.1
P149,5.8,2.4,8.7,3.4
P150,5.7,2.0,7.7,3.0
P151,5.7,2.0,8.6,3.7
P152,5.7,1.8,9.7,3.3
P153,5.2,2.0,8.7,2.2
P154,5.7,1.9,8.9,3.2
P155,5.7,2.4,8.0,3.0
P156,5.2,2.3,8.3,2.7
P157,6.5,2.0,8.5,2.9
P158,5.8,2.6,8.5,3.4
P159,5.0,2.3,9.5,3.9
P160,5.9,2.1,9.1,3.5
P161,5.1,1.7,8.0,3.2
P162,5.9,2.6,8.9,3.6
P163,6.1,1.9,9.0,3.2
P164,5.1,1.9,9.4,3.1
P165,6.0,2.3,9.7,2.9
P166,5.8,2.6,8.1,2.7
P167,6.0,2.4,8.2,3.2
P168,6.5,2.3,8.0,3.5
P169,5.4,2.3,8.6,3.4
P170,5.2,2.3,9.0,3.2
P171,5.1,2.3,9.3,3.0
P172,5.1,2.2,8.7,3.6
P173,5.5,2.2,8.5,2.9
P174,5.7,2.1,8.8,3.7
P175,5.7,2.0,8.2,3.0
P176,6.0,2.1,10.0,3.1
P177,5.6,1.8,7.7,2.8
P178,6.3,2.1,8.8,3.2
P179,5.4,2.0,10.0,3.8
P180,6.9,2.0,8.7,3.6
P181,5.9,2.2,8.6,3.8
P182,5.1,2.4,8.5,3.6
P183,5.0,2.3,8.6,3.0
P184,5.8,1.9,9.6,3.3
P185,5.4,2.0,7.4,3.1
P186,5.9,2.3,9.7,3.9
P187,5.8,2.0,7.9,2.9
P188,5.5,2.1,8.6,3.8
P189,5.1,2.2,8.5,3.8
P190,4.8,2.0,9.1,4.1
P191,5.3,2.2,7.8,3.2
P192,6.0,1.9,9.0,3.7
P193,5.7,2.0,10.0,4.3
P194,4.9,2.2,7.9,3.1
P195,5.6,1.9,8.8,2.8
P196,5.7,2.2,8.3,2.6
P197,5.1,2.1,9.0,3.7
P198,5.6,2.2,8.7,2.6
P199,5.6,2.2,8.3,3.2
P200,5.0,2.4,9.0,3.6
P201,5.7,2.2,9.8,3.5
P202,5.8,2.1,8.6,3.6
P203,6.1,2.2,9.2,3.5
P204,6.1,2.2,7.9,3.9
P205,4.9,2.2,8.1,3.0
P206,5.1,2.2,9.0,3.1
P207,5.8,2.0,9.6,3.1
P208,5.8,2.0,8.9,3.7
P209,5.8,1.9,8.5,3.8
P210,7.5,2.5,8.7,3.6
P211,5.8,1.9,8.0,3.9
P212,6.1,2.0,9.1,2.9
P213,6.0,2.0,9.3,4.1
P214,5.9,2.3,8.4,4.0
P215,5.4,2.1,8.4,3.7
P216,5.9,2.4,8.9,4.1
P217,5.2,2.0,8.5,2.7
P218,5.4,2.2,8.7,3.2
P219,5.3,2.0,10.0,3.1
P220,5.6,2.5,8.6,3.7
P221,6.7,1.9,8.5,3.0
P222,4.6,2.2,8.3,3.7
P223,5.9,2.3,9.2,4.0
P224,4.7,2.2,8.6,3.7
P225,5.3,2.1,8.3,3.5
P226,6.1,2.1,9.5,3.0
P227,5.6,2.2,9.6,3.1
P228,5.0,2.1,8.4,3.9
P229,5.2,2.3,7.6,3.7
P230,5.9,2.5,9.3,3.4
P231,5.2,2.0,8.3,3.2
P232,5.7,1.9,9.2,2.6
P233,5.6,2.1,7.5,3.0
P234,5.2,2.6,9.3,4.2
P235,6.6,2.0,8.0,2.9
P236,5.9,2.4,9.2,3.5
P237,4.5,2.5,8.7,3.8
P238,5.6,2.1,8.1,2.9
P239,5.2,2.3,8.5,3.5
P240,6.0,2.4,9.1,3.8
P241,5.2,2.1,8.8,3.4
P242,5.5,2.1,9.1,4.6
P243,5.8,2.0,9.9,2.7
P244,6.0,2.0,7.8,3.8
P245,4.9,2.0,9.7,3.3
P246,5.4,1.9,8.8,3.7
P247,5.3,2.2,8.2,3.6
P248,5.2,2.0,7.9,3.1
P249,6.4,2.2,8.6,3.5
P250,5.8,1.9,9.3,2.6
P251,4.9,2.2,8.6,3.6
P252,6.0,2.3,9.6,3.5
P253,6.6,1.8,7.8,3.7
P254,6.1,2.2,8.7,3.8
P255,4.8,2.4,8.0,3.5
P256,5.3,1.9,8.9,3.5
P257,6.2,2.5,9.3,3.0
P258,5.2,2.2,8.5,3.1
P259,5.8,2.0,7.1,3.9
P260,5.9,2.1,8.8,4.0
P261,5.1,2.3,9.0,3.3
P262,5.5,2.2,9.0,3.4
P263,3.9,2.2,9.5,3.0
P264,5.0,2.0,8.1,3.9
P265,5.4,2.2,9.1,3.7
P266,4.9,1.9,9.5,4.2
P267,6.4,2.1,7.6,3.0
P268,4.8,2.0,8.9,3.2
P269,5.3,2.0,8.4,3.5
P270,5.6,2.4,8.7,3.7
P271,6.3,2.3,8.9,3.3
P272,4.8,2.3,8.4,3.0
P273,6.1,2.0,8.3,3.8
P274,5.6,2.1,8.7,3.7
P275,5.1,2.4,8.1,3.0
P276,5.8,2.2,8.1,4.0
P277,5.7,2.6,9.1,3.9
P278,5.2,2.2,8.0,3.5
P279,5.6,2.2,9.1,3.4
P280,5.4,2.1,9.0,3.6
P281,5.6,2.2,7.7,3.0
P282,5.9,2.1,8.3,3.4
P283,6.3,2.3,9.5,2.5
P284,4.9,2.3,8.1,3.8
P285,6.6,2.0,8.4,2.8
P286,4.6,1.9,9.0,4.0
P287,5.5,1.8,9.2,3.3
P288,5.8,2.2,8.6,3.3
P289,5.7,2.0,8.4,3.1
P290,5.2,1.8,9.6,3.3
P291,5.4,2.2,9.8,4.0
P292,5.3,2.6,9.3,2.4
P293,5.3,2.1,8.8,3.9
P294,6.0,2.3,8.2,3.5
P295,5.7,2.2,8.2,2.9
P296,5.2,2.1,9.0,3.0
P297,6.0,2.3,9.0,4.1
P298,5.7,2.1,9.6,3.0
P299,6.0,2.2,9.1,2.9
P300,5.9,2.2,7.8,3.9
P301,5.1,2.0,9.4,3.5
P302,5.3,2.3,8.1,3.0
P303,5.9,2.1,8.5,3.5
P304,5.9,2.0,8.9,3.0
P305,5.5,2.2,9.9,3.8
P306,5.6,2.0,10.6,3.8
P307,6.2,2.2,9.1,3.6
P308,5.3,2.1,8.6,3.5
P309,5.8,2.3,9.1,4.1
P310,5.4,2.2,9.3,3.4
P311,5.4,2.1,8.5,2.9
P312,6.1,2.3,9.8,3.6
P313,6.0,2.4,8.9,4.2
P314,6.0,2.3,9.0,3.0
P315,6.2,2.2,9.1,3.3
P316,5.6,1.9,9.0,3.6
P317,5.9,2.0,9.2,3.4
P318,5.4,2.1,8.3,3.0
P319,5.7,2.0,8.4,3.9
P320,5.5,2.1,8.1,4.3
P321,5.6,2.2,9.0,3.5
P322,5.8,2.2,9.2,3.0
P323,5.1,2.1,9.0,2.8
P324,6.6,2.2,9.7,3.5
P325,5.0,2.2,8.7,3.8
P326,4.9,1.8,9.1,3.6
P327,6.1,2.0,8.1,3.4
P328,5.9,2.1,8.5,3.2
P329,5.9,1.9,9.1,3.0
P330,5.9,2.3,9.2,3.7
P331,5.5,2.4,8.5,3.8
P332,5.1,2.4,8.7,2.8
P333,5.6,2.1,7.8,4.0
P334,5.2,2.4,8.5,3.6
P335,6.0,2.2,9.3,4.0
P336,5.5,2.1,9.1,2.9
P337,5.1,2.0,9.0,2.8
P338,5.4,2.1,8.8,3.3
P339,5.8,2.1,8.7,3.6
P340,5.3,2.2,8.3,4.1
P341,5.1,2.2,9.2,3.7
P342,5.7,2.2,9.0,3.3
P343,5.7,2.2,9.0,3.0
P344,5.3,2.4,8.4,3.9
P345,5.3,2.3,7.4,3.0
P346,5.7,1.9,9.4,4.1
P347,4.8,1.7,8.4,3.3
P348,4.8,2.3,8.2,4.0
P349,5.2,1.9,9.1,3.7
P350,5.4,2.1,8.5,3.3
P351,5.7,1.9,9.4,3.2
P352,6.3,1.8,9.1,3.3
P353,6.0,2.2,9.1,3.6
P354,5.5,2.3,7.9,3.4
P355,5.5,2.0,9.5,3.2
P356,5.0,1.7,8.9,3.3
P357,5.5,2.1,8.5,3.4
P358,5.4,2.2,8.8,2.5
P359,5.7,1.9,7.6,3.6
P360,5.1,2.2,9.0,3.0
P361,5.8,2.1,8.1,2.9
P362,6.3,2.3,7.9,2.7
P363,5.5,2.2,7.8,2.7
P364,5.8,2.0,9.4,2.8
P365,5.9,2.4,8.3,3.1
P366,5.3,2.1,9.7,4.2
P367,5.7,2.1,8.4,3.2
P368,5.6,2.0,7.7,3.5
P369,5.6,2.1,8.0,3.6
P370,5.2,2.0,9.5,3.5
P371,5.6,2.1,8.6,3.4
P372,5.8,2.5,8.4,2.9
P373,6.3,1.9,8.8,4.0
P374,6.0,1.9,9.0,4.1
P375,6.6,2.4,9.4,2.7
P376,5.2,2.1,9.6,3.0
P377,6.0,2.0,8.5,3.3
P378,5.6,2.3,7.9,3.0
P379,6.7,2.0,8.5,3.6
P380,5.1,2.5,8.9,3.1
P381,5.1,2.3,8.1,4.3
P382,5.2,2.1,8.1,3.9
P383,4.5,2.5,8.9,3.5
P384,5.3,2.0,8.7,3.8
P385,5.2,2.3,8.7,3.8
P386,5.6,2.2,8.3,3.2
P387,5.7,2.4,8.6,3.1
P388,6.5,2.4,8.2,3.4
P389,6.0,2.2,9.3,3.7
P390,5.3,2.0,9.4,3.5
P391,5.1,2.2,7.6,2.8
P392,5.8,2.0,8.2,3.1
P393,4.9,2.5,7.8,3.4
P394,6.5,2.2,8.3,3.4
P395,6.1,2.1,8.7,4.2
P396,5.3,2.2,7.8,2.8
P397,4.7,1.9,8.2,3.6
P398,6.2,2.0,8.1,4.0
P399,5.5,2.4,8.9,4.3
P400,6.2,2.0,8.8,3.2
P401,4.7,2.0,8.3,3.6
P402,5.2,2.2,8.8,3.6
P403,5.6,2.4,8.4,3.5
P404,5.6,2.3,8.6,3.4
P405,5.3,2.3,9.7,3.6
P406,5.9,2.0,9.5,2.4
P407,5.0,1.9,7.9,3.7
P408,5.5,2.4,9.2,3.5
P409,5.6,2.1,9.2,3.3
P410,5.8,2.1,8.0,4.2
P411,5.9,2.4,9.2,3.1
P412,5.0,2.3,9.7,3.2
P413,4.8,2.2,8.0,4.2
P414,6.2,2.5,8.2,3.1
P415,5.7,2.0,9.3,3.2
P416,5.2,2.3,8.9,3.3
P417,6.3,2.2,9.1,3.7
P418,5.6,2.2,8.9,3.5
P419,6.1,2.4,9.0,2.9
P420,5.6,2.2,7.9,3.2
P421,6.6,2.2,9.4,3.2
P422,6.4,2.3,9.4,3.4
P423,5.4,2.1,8.6,3.6
P424,6.0,2.0,8.7,3.6
P425,5.9,2.0,7.8,2.7
P426,6.2,1.8,9.0,3.8
P427,5.1,2.5,9.1,3.5
P428,5.9,2.0,8.7,4.0
P429,6.1,2.1,9.4,3.6
P430,4.7,2.1,8.5,3.8
P431,5.0,2.2,9.1,3.6
P432,4.5,2.3,8.1,3.9
P433,5.4,2.3,8.7,3.6
P434,5.9,2.0,8.6,3.4
P435,6.3,2.1,8.9,4.3
P436,5.6,2.2,8.5,3.8
P437,6.4,2.1,8.6,3.6
P438,4.9,2.4,9.2,2.9
P439,4.7,2.2,8.5,2.9
P440,5.5,2.3,7.7,3.5
P441,5.7,2.3,9.8,3.5
P442,5.5,2.4,9.6,3.2
P443,4.5,2.2,7.9,3.5
P444,5.5,1.9,9.1,4.0
P445,4.9,2.2,8.4,3.7
P446,5.9,2.0,8.9,2.9
P447,5.7,2.1,8.9,3.4
P448,5.1,2.3,8.6,3.1
P449,5.3,2.4,8.2,3.2
P450,5.0,2.2,8.3,3.2
P451,5.5,2.2,8.2,3.2
P452,6.0,2.5,8.2,2.9
P453,5.1,2.2,8.7,3.3
P454,5.8,2.6,8.3,3.2
P455,5.3,2.3,9.1,2.2
P456,5.2,1.8,9.6,4.2
P457,5.5,2.3,8.4,3.8
P458,5.0,2.2,8.9,3.2
P459,5.3,2.4,9.0,3.4
P460,4.9,2.3,9.0,2.9
P461,6.5,2.1,8.8,4.1
P462,5.6,1.9,9.2,4.2
P463,5.2,2.1,9.0,3.5
P464,5.7,2.0,8.0,3.8
P465,5.5,2.0,9.3,3.5
P466,5.4,2.3,9.3,2.9
P467,5.9,2.5,8.3,3.2
P468,5.9,2.2,8.7,3.5
P469,5.3,1.9,9.1,3.2
P470,5.3,2.2,8.6,3.3
P471,5.4,2.4,9.4,3.4
P472,4.4,2.0,10.2,3.4
P473,4.8,2.1,8.2,3.4
P474,6.2,2.2,7.9,3.0
P475,6.4,2.0,8.9,3.1
P476,5.4,2.3,9.2,2.9
P477,5.8,2.1,8.6,3.8
P478,5.7,2.2,9.6,2.5
P479,7.1,2.0,7.9,3.9
P480,6.1,2.1,9.1,4.0
P481,5.5,2.3,8.4,3.3
P482,5.1,2.1,9.8,2.3
P483,4.7,2.5,9.9,3.3
P484,5.7,2.1,8.3,3.4
P485,5.2,2.2,8.4,3.0
P486,4.8,2.3,9.2,3.2
P487,5.2,1.9,8.5,4.0
P488,5.0,1.8,8.7,3.7
P489,6.4,1.9,8.7,3.0
P490,6.0,2.4,7.6,2.8
P491,5.5,2.1,8.7,3.3
P492,6.3,2.6,8.3,3.3
P493,5.6,2.0,8.4,3.6
P494,5.1,2.2,9.6,3.2
P495,6.3,2.4,8.0,3.6
P496,5.8,2.5,9.2,4.2
P497,5.0,2.5,8.6,3.7
P498,5.5,2.4,8.6,3.4
P499,5.1,2.3,9.2,3.3
P500,4.9,2.3,8.9,3.3
P501,6.0,2.3,9.1,3.9
P502,6.5,2.1,9.3,3.1
P503,4.8,2.0,8.5,3.4
P504,5.8,2.1,8.4,3.4
P505,5.2,2.1,8.1,3.2
P506,5.3,2.1,8.2,2.8
P507,5.3,2.3,10.5,3.5
P508,5.1,2.3,9.5,3.4
P509,5.6,2.2,7.9,3.6
P510,5.1,2.4,7.9,3.2
P511,5.7,1.9,9.0,3.9
P512,5.5,2.1,9.1,3.0
P513,5.4,2.0,9.1,4.1
P514,5.1,1.8,8.6,2.7
P515,5.3,2.1,8.6,3.6
P516,5.9,2.1,8.9,3.6
P517,5.8,2.4,8.8,3.1
P518,5.1,2.3,7.4,3.6
P519,5.6,2.0,8.6,3.9
P520,5.9,2.5,8.2,2.5
P521,4.7,2.4,8.8,3.6
P522,5.8,2.3,10.5,2.4
P523,5.2,2.1,8.9,3.0
P524,5.8,2.0,8.5,4.1
P525,5.2,2.1,9.3,3.2
P526,4.6,2.3,9.0,2.9
P527,4.7,2.5,9.0,3.3
P528,5.6,2.4,9.1,4.2
P529,5.7,2.1,10.0,2.7
P530,5.1,1.9,8.0,3.0
P531,5.9,2.2,9.0,4.0
P532,4.7,1.8,8.2,4.2
P533,5.5,2.2,9.1,3.4
P534,4.9,2.1,8.2,2.9
P535,5.2,2.1,8.5,4.3
P536,5.6,1.9,8.5,4.0
P537,5.1,2.2,9.3,3.7
P538,5.4,2.1,9.3,3.1
P539,6.1,1.9,8.0,3.4
P540,5.3,1.6,8.8,3.3
P541,6.0,2.1,8.3,3.5
P542,5.0,2.5,8.0,4.0
P543,5.8,2.4,8.6,3.8
P544,6.3,2.1,8.5,3.0
P545,4.3,2.0,10.2,4.0
P546,5.1,2.2,9.0,3.5
P547,5.8,2.0,7.9,3.7
P548,5.4,2.2,8.4,4.0
P549,5.7,2.3,9.3,2.9
P550,5.2,2.4,10.0,3.4
P551,5.6,2.1,7.8,3.2
P552,5.5,2.1,7.6,2.8
P553,6.1,2.0,9.9,3.5
P554,5.7,2.0,9.0,4.4
P555,5.7,2.1,8.2,2.7
P556,5.3,2.2,9.1,3.4
P557,5.3,2.3,7.1,3.7
P558,5.3,2.0,8.7,3.4
P559,5.7,2.4,8.9,3.4
P560,5.3,2.1,9.3,2.9
P561,5.7,2.1,8.1,3.5
P562,6.6,2.0,8.8,3.1
P563,6.0,1.7,8.2,2.5
P564,5.4,2.3,8.9,3.9
P565,6.2,2.3,8.2,3.8
P566,5.3,2.1,8.5,3.4
P567,4.5,2.2,8.1,3.5
P568,5.0,2.2,9.1,3.8
P569,4.6,1.9,9.2,3.5
P570,5.4,2.1,8.6,3.8
P571,5.6,2.3,8.7,3.3
P572,6.4,1.9,7.8,3.9
P573,5.7,2.2,8.5,3.5
P574,5.4,1.9,8.7,3.5
P575,6.0,2.2,10.3,2.9
P576,4.4,2.1,8.0,3.5
P577,5.7,1.9,9.6,3.1
P578,5.9,2.4,9.3,3.1
P579,4.8,2.0,8.9,3.1
P580,6.1,2.0,9.8,3.0
P581,5.7,2.2,9.0,4.3
P582,5.3,2.4,9.0,3.9
P583,5.9,2.0,8.7,4.2
P584,6.7,2.2,9.5,2.9
P585,5.6,2.2,9.4,3.4
P586,5.7,2.3,8.3,2.9
P587,5.3,2.2,7.9,3.1
P588,5.1,2.1,8.6,3.0
P589,6.0,2.0,8.2,3.9
P590,5.1,2.2,8.7,3.2
P591,5.6,2.0,9.5,3.8
P592,5.3,1.6,8.4,3.6
P593,5.8,2.2,8.7,4.3
P594,5.7,2.3,8.8,2.8
P595,6.1,1.7,9.2,3.9
P596,5.3,2.0,7.4,3.9
P597,5.4,2.3,8.4,3.0
P598,5.1,2.5,8.9,3.8
P599,5.3,2.2,9.5,3.5
P600,5.7,2.0,8.4,3.3
P601,5.9,2.1,7.6,3.1
P602,5.1,2.4,9.1,3.1
P603,6.0,2.0,8.3,4.2
P604,6.2,2.0,8.0,3.4
P605,5.8,2.1,8.3,3.7
P606,6.5,2.0,8.6,3.1
P607,5.2,2.2,8.4,3.1
P608,4.9,2.4,7.4,3.8
P609,4.7,2.2,9.3,2.9
P610,6.3,2.1,9.5,3.2
P611,5.9,2.1,9.1,3.4
P612,5.5,1.9,8.0,3.4
P613,5.7,2.3,8.6,3.3
P614,5.0,2.1,8.7,3.6
P615,6.8,2.1,9.1,3.7
P616,5.6,2.7,9.1,3.7
P617,5.6,2.2,8.3,3.0
P618,5.9,2.0,8.8,3.3
P619,5.8,2.1,9.0,3.9
P620,5.7,2.4,9.6,3.8
P621,5.2,2.2,9.2,2.8
P622,5.8,1.9,9.2,3.5
P623,6.5,2.3,8.8,2.6
P624,6.2,2.0,9.6,3.4
P625,6.4,2.5,9.0,4.2
P626,5.3,2.3,8.2,3.0
P627,5.1,2.1,9.6,3.1
P628,5.5,2.4,9.2,3.7
P629,5.6,2.2,8.5,2.8
P630,6.1,2.3,8.4,3.1
P631,4.7,2.2,8.9,3.6
P632,6.3,2.0,9.0,3.1
P633,5.5,2.0,8.8,3.3
P634,5.3,2.3,8.9,3.7
P635,5.0,2.1,9.8,3.6
P636,4.7,2.1,9.4,3.5
P637,6.0,2.0,8.8,3.3
P638,5.6,2.2,9.3,3.6
P639,4.9,2.5,8.1,3.3
P640,4.9,2.0,9.0,3.6
P641,5.4,2.2,9.8,3.2
P642,6.4,2.4,8.6,3.3
P643,5.4,2.1,8.2,3.0
P644,4.8,2.2,8.3,3.4
P645,5.4,2.0,8.1,3.1
P646,5.4,2.2,8.2,2.9
P647,4.2,2.1,8.5,3.5
P648,5.5,2.3,7.9,3.5
P649,5.4,2.4,8.7,3.7
P650,5.9,2.6,9.3,3.2
P651,6.5,2.3,8.2,3.6
P652,6.1,2.2,9.7,3.6
P653,5.4,2.2,9.0,3.6
P654,5.0,2.1,9.4,3.1
P655,6.8,2.2,8.3,3.5
P656,5.6,2.1,9.2,3.5
P657,5.6,2.2,8.1,3.4
P658,5.5,2.4,9.3,2.6
P659,5.6,2.0,8.8,3.5
P660,5.5,2.4,9.1,4.3
P661,5.3,2.4,8.0,3.3
P662,5.3,2.1,8.2,3.1
P663,5.5,1.8,9.1,3.6
P664,5.3,2.0,8.1,3.5
P665,5.2,2.4,9.0,3.9
P666,5.6,2.1,7.9,2.9
P667,5.4,2.0,9.2,3.7
P668,6.3,2.1,8.0,3.6
P669,4.2,2.3,9.1,3.3
P670,6.1,2.2,9.1,3.5
P671,6.2,2.1,8.3,3.8
P672,4.5,2.1,9.1,3.8
P673,5.4,2.1,8.9,2.9
P674,5.4,2.0,8.4,3.7
P675,4.8,2.4,8.1,3.4
P676,5.2,2.1,7.5,3.4
P677,5.0,2.4,8.9,3.4
P678,6.4,2.4,7.8,3.3
P679,6.0,2.3,8.8,3.9
P680,6.2,2.1,8.6,3.4
P681,5.9,2.2,9.1,2.9
P682,5.0,2.1,8.5,3.2
P683,5.3,2.0,8.5,3.5
P684,5.8,2.2,9.2,3.9
P685,4.9,1.9,8.9,3.6
P686,5.9,2.4,8.9,3.1
P687,5.4,2.1,9.0,4.4
P688,5.4,2.2,7.8,3.5
P689,5.9,2.2,9.2,3.9
P690,5.8,2.1,9.1,3.3
P691,5.4,2.3,8.1,3.6
P692,6.1,2.1,8.6,3.7
P693,5.0,2.3,8.7,3.9
P694,5.9,1.9,8.6,3.8
P695,5.8,2.2,8.9,3.8
P696,5.4,2.5,9.6,3.3
P697,5.7,2.0,9.4,3.2
P698,4.9,2.0,7.9,3.5
P699,6.0,2.2,9.1,3.8
P700,5.5,2.2,9.5,3.3
P701,5.3,2.2,9.0,3.8
P702,6.1,2.2,9.4,4.0
P703,5.2,2.3,10.0,3.0
P704,4.8,2.4,9.3,3.1
P705,4.8,2.2,8.9,3.3
P706,5.9,2.1,9.4,3.5
P707,4.9,2.3,8.8,3.2
P708,6.4,2.5,8.7,3.9
P709,4.5,2.1,8.5,3.6
P710,6.4,2.0,9.7,3.4
P711,5.7,2.3,8.2,2.8
P712,5.5,2.1,9.7,2.9
P713,5.3,1.8,9.0,3.5
P714,5.8,2.3,7.9,2.5
P715,5.5,2.1,8.9,3.8
P716,6.1,2.1,7.4,3.3
P717,5.6,2.2,9.1,4.7
P718,5.6,2.2,9.3,4.3
P719,5.4,2.3,8.4,3.3
P720,5.5,2.1,8.8,3.4
P721,5.7,2.2,9.9,3.8
P722,4.7,2.1,8.4,4.1
P723,4.9,2.3,8.1,2.7
P724,5.9,2.3,9.6,2.7
P725,5.6,2.0,9.9,3.1
P726,5.5,2.3,8.7,3.6
P727,5.6,2.1,9.3,3.6
P728,5.7,2.3,9.5,3.8
P729,5.3,2.2,8.3,2.9
P730,5.2,2.5,8.4,2.5
P731,5.6,2.1,9.5,3.7
P732,5.1,2.1,9.8,3.1
P733,5.8,2.1,9.1,2.6
P734,4.7,2.1,8.2,3.5
